abandon,放弃,cet4,He had to abandon the project.,high
ability,能力,cet4,She has the ability to learn quickly.,high
abroad,在国外,cet4,He studied abroad for two years.,medium
absence,缺席,cet4,His absence was noted.,medium
absolute,绝对的,cet4,That is absolute nonsense.,high
absorb,吸收,cet4,The material absorbs water.,high
abstract,抽象的,cet4,This is an abstract concept.,medium
academic,学术的,cet4,She has an academic background.,high
accelerate,加速,cet4,The car accelerated quickly.,medium
access,通道；访问,cet4,You need a key to access the building.,high
accompany,陪伴,cet4,She accompanied him to the airport.,medium
accomplish,完成,cet4,He accomplished his goal.,high
accurate,准确的,cet4,The data is accurate.,high
achieve,实现,cet4,She achieved great success.,high
acknowledge,承认,cet4,He acknowledged his mistake.,medium
acquire,获得,cet4,She acquired new skills.,high
adapt,适应,cet4,He adapted to the new environment.,high
adequate,足够的,cet4,The supply is adequate.,medium
adjust,调整,cet4,Please adjust the settings.,medium
administration,管理,cet4,The school administration made a decision.,medium
admire,钦佩,cet4,I admire your courage.,medium
admit,承认,cet4,He admitted his error.,high
adopt,采纳；收养,cet4,They decided to adopt a child.,high
advance,前进；进步,cet4,Technology continues to advance.,high
advantage,优势,cet4,Being tall is an advantage in basketball.,high
advertise,做广告,cet4,Companies advertise on social media.,medium
affair,事务,cet4,It's a private affair.,medium
affect,影响,cet4,The weather affects my mood.,high
afford,负担得起,cet4,I can't afford a new car.,high
afterward,后来,cet4,We went to dinner afterward.,medium
abstract,抽象的,cet6,The concept is too abstract to understand easily.,medium
acquisition,获得；习得,cet6,Language acquisition is a complex process.,high
administration,管理；行政,cet6,The administration implemented new policies.,medium
aggressive,侵略的；有进取心的,cet6,The company adopted an aggressive marketing strategy.,high
allocation,分配；配置,cet6,Resource allocation must be carefully planned.,medium
alternative,替代的；选择,cet6,We need to find an alternative solution.,high
ambitious,有雄心的,cet6,She set ambitious goals for the project.,medium
annual,每年的,cet6,The annual report shows significant growth.,high
apparent,明显的,cet6,It became apparent that changes were needed.,high
appreciate,欣赏；感激,cet6,I appreciate your contribution to the team.,high
artificial,人工的；虚假的,cet6,Artificial intelligence is transforming industries.,high
assess,评估；评定,cet6,We need to assess the risks carefully.,medium
assign,分配；指派,cet6,The teacher assigned a challenging project.,high
associate,联系；关联,cet6,People often associate success with hard work.,medium
assume,假设；承担,cet6,I assume you have read the instructions.,high
authority,权威；当局,cet6,The local authority approved the construction.,medium
available,可用的；有效的,cet6,Tickets are available online.,high
barrier,障碍；屏障,cet6,Language can be a barrier to communication.,medium
beneficial,有益的,cet6,Exercise is beneficial to your health.,high
budget,预算,cet6,The project was completed within budget.,medium
capable,有能力的,cet6,She is capable of handling complex tasks.,high
category,类别；种类,cet6,Products are organized by category.,medium
challenge,挑战,cet6,Learning a new language is a challenge.,high
collapse,崩溃；倒塌,cet6,The negotiation collapsed due to disagreements.,medium
commission,委员会；委托,cet6,The commission published its findings.,medium
commitment,承诺；投入,cet6,We need full commitment from the team.,high
compensation,补偿；报酬,cet6,Employees receive fair compensation.,medium
component,组成部分；元件,cet6,Each component plays a vital role.,medium
comprehensive,全面的；综合的,cet6,The report provides a comprehensive analysis.,high
concentrate,集中；专注,cet6,Please concentrate on the task at hand.,medium
confront,面对；对抗,cet6,We must confront the challenges ahead.,medium
conscious,有意识的；自觉的,cet6,He was conscious of the risks involved.,medium
consequence,结果；后果,cet6,The consequences could be severe.,high
conservative,保守的,cet6,The estimate is conservative.,medium
considerable,相当大的；重要的,cet6,There has been considerable progress.,high
consistent,一致的；始终如一的,cet6,The results are consistent with our predictions.,high
consult,咨询；查阅,cet6,You should consult a specialist.,medium
contemporary,当代的；同代的,cet6,Contemporary art challenges traditional boundaries.,medium
contradiction,矛盾；反驳,cet6,There is a contradiction in your argument.,medium
controversy,争议；争论,cet6,The decision sparked controversy.,medium
convention,惯例；大会,cet6,By convention, meetings start on time.,medium
convey,传达；运输,cet6,Her words convey deep emotion.,high
coordinate,协调；配合,cet6,We need to coordinate our efforts.,medium
correspond,对应；通信,cet6,The numbers correspond to specific items.,medium
criterion,标准；准则,cet6,What is the main criterion for selection?,medium
crucial,关键的；决定性的,cet6,Timing is crucial for success.,high
cultivate,培养；耕作,cet6,She cultivated a love of reading in her students.,medium
database,数据库,cet6,The database contains millions of records.,medium
deadline,截止日期,cet6,The deadline for submissions is Friday.,high
decline,下降；拒绝,cet6,The population began to decline.,high
defeat,击败；挫败,cet6,They suffered a major defeat.,medium
defense,防御；辩护,cet6,The defense argued that the evidence was weak.,medium
delegate,委派；代表,cet6,The manager delegated tasks to her team.,medium
deliberate,故意的；深思熟虑的,cet6,This was a deliberate attempt to mislead.,medium
demonstrate,展示；证明,cet6,The experiment demonstrates the principle.,high
depress,使沮丧；压抑,cet6,Bad weather can depress your mood.,medium
derive,源于；获得,cet6,The word derives from Latin.,medium
deserve,值得；应得,cet6,You deserve a promotion.,high
dimension,维度；方面,cet6,We need to consider all dimensions of the problem.,medium
discipline,纪律；学科,cet6,Self-discipline is key to success.,medium
discount,折扣；不重视,cet6,They offered a 20% discount.,high
discrimination,歧视；辨别,cet6,The law prohibits discrimination.,medium
domestic,国内的；家庭的,cet6,The domestic market is growing.,high
dominate,支配；主宰,cet6,The company dominates the market.,medium
drama,戏剧；戏剧性事件,cet6,The courtroom was full of drama.,medium
dynamic,动态的；有活力的,cet6,The team has a dynamic leader.,high
elaborate,精心制作的；详细阐述,cet6,Can you elaborate on your proposal?,medium
eliminate,消除；淘汰,cet6,We need to eliminate unnecessary costs.,high
embrace,拥抱；欣然接受,cet6,The company embraced new technology.,medium
emerge,出现；浮现,cet6,New evidence has emerged.,high
emphasis,强调；重点,cet6,The emphasis is on quality.,medium
encounter,遭遇；邂逅,cet6,We encountered unexpected difficulties.,medium
enforce,执行；强制,cet6,The law must be enforced.,high
